recall,precision,method
0.9783333333333334,0.30180569266205987,FedTROS-PR
0.9783333333333334,0.3018429388292402,FedTROS-PR
0.9782666666666666,0.30185341369592494,FedTROS-PR
0.9782666666666666,0.3019030963892604,FedTROS-PR
0.9782666666666666,0.3019217316159829,FedTROS-PR
0.9782,0.30194464451075215,FedTROS-PR
0.9781333333333333,0.3019364929105015,FedTROS-PR
0.9780666666666666,0.3019594121763471,FedTROS-PR
0.9780666666666666,0.30197805816849516,FedTROS-PR
0.978,0.30199477118801077,FedTROS-PR
0.9777333333333333,0.3020430018947195,FedTROS-PR
0.9776,0.3020640217525646,FedTROS-PR
0.9776,0.30208268957419193,FedTROS-PR
0.9776,0.30212625679907695,FedTROS-PR
0.9774666666666667,0.30215352910870685,FedTROS-PR
0.9774,0.3021765118100499,FedTROS-PR
0.9773333333333334,0.3021995011440704,FedTROS-PR
0.9772666666666666,0.3022100358718509,FedTROS-PR
0.9772666666666666,0.30222249711364013,FedTROS-PR
0.9770666666666666,0.30230399537963326,FedTROS-PR
0.9770666666666666,0.3023414130995358,FedTROS-PR
0.9769333333333333,0.3024748694449605,FedTROS-PR
0.9769333333333333,0.302487356796367,FedTROS-PR
0.9768,0.3027585494369253,FedTROS-PR
0.9768,0.3027960900204592,FedTROS-PR
0.9768,0.3028148638035795,FedTROS-PR
0.9767333333333333,0.3028317486564696,FedTROS-PR
0.9766666666666667,0.30285489839373203,FedTROS-PR
0.9766,0.3028592693667432,FedTROS-PR
0.9765333333333334,0.3028448561032087,FedTROS-PR
0.9765333333333334,0.3028761656638339,FedTROS-PR
0.9765333333333334,0.30300773654379215,FedTROS-PR
0.9764666666666667,0.30305600960046347,FedTROS-PR
0.9764,0.30308548724210005,FedTROS-PR
0.9764,0.30309803191159124,FedTROS-PR
0.9764,0.3031293981289842,FedTROS-PR
0.9761333333333333,0.30319093864535235,FedTROS-PR
0.9761333333333333,0.3033102705390065,FedTROS-PR
0.9761333333333333,0.3033982594280978,FedTROS-PR
0.9761333333333333,0.30345485067666994,FedTROS-PR
0.976,0.30345113483262515,FedTROS-PR
0.9759333333333333,0.30346185737976783,FedTROS-PR
0.9758666666666667,0.30352292284405,FedTROS-PR
0.9758,0.30358402123864436,FedTROS-PR
0.9758,0.3036092097075296,FedTROS-PR
0.9758,0.3036658990477376,FedTROS-PR
0.9756,0.3037675142708874,FedTROS-PR
0.9756,0.3038179666576702,FedTROS-PR
0.9754666666666667,0.30387738572407635,FedTROS-PR
0.9754666666666667,0.30388369678089305,FedTROS-PR
0.9754666666666667,0.30389000809985667,FedTROS-PR
0.9754666666666667,0.30392156862745096,FedTROS-PR
0.9754666666666667,0.30393419467408916,FedTROS-PR
0.9754666666666667,0.3039405080908166,FedTROS-PR
0.9754666666666667,0.30394682176983795,FedTROS-PR
0.9754666666666667,0.3042375348276292,FedTROS-PR
0.9754666666666667,0.3044527673741157,FedTROS-PR
0.9754666666666667,0.3044591023533573,FedTROS-PR
0.9754,0.3044889804582631,FedTROS-PR
0.9752,0.30457233280586327,FedTROS-PR
0.9752,0.3046611405006873,FedTROS-PR
0.9752,0.3047119110111236,FedTROS-PR
0.9752,0.3047309543153553,FedTROS-PR
0.9750666666666666,0.3047908808635672,FedTROS-PR
0.975,0.3048018006752532,FedTROS-PR
0.975,0.304871693314711,FedTROS-PR
0.975,0.30490983008443656,FedTROS-PR
0.9748666666666667,0.3050207546776246,FedTROS-PR
0.9748,0.3050253457663183,FedTROS-PR
0.9748,0.3050380723896944,FedTROS-PR
0.9748,0.305044436099637,FedTROS-PR
0.9748,0.305088989504872,FedTROS-PR
0.9748,0.3050953553394817,FedTROS-PR
0.9747333333333333,0.3051126878130217,FedTROS-PR
0.9747333333333333,0.30518911246555896,FedTROS-PR
0.9747333333333333,0.30522733915076616,FedTROS-PR
