fpr,tpr,method
0.14402564102564103,0.5316666666666666,FedTROS-PR
0.14507692307692308,0.5337333333333333,FedTROS-PR
0.14553846153846153,0.5351333333333333,FedTROS-PR
0.14553846153846153,0.5353333333333333,FedTROS-PR
0.14584615384615385,0.5362666666666667,FedTROS-PR
0.14584615384615385,0.5364666666666666,FedTROS-PR
0.14674358974358975,0.5376666666666666,FedTROS-PR
0.14761538461538462,0.5391333333333334,FedTROS-PR
0.14774358974358975,0.5393333333333333,FedTROS-PR
0.14794871794871794,0.5403333333333333,FedTROS-PR
0.14805128205128204,0.5405333333333333,FedTROS-PR
0.14807692307692308,0.5405333333333333,FedTROS-PR
0.1488974358974359,0.5435333333333333,FedTROS-PR
0.14902564102564103,0.5444,FedTROS-PR
0.14915384615384616,0.5448666666666667,FedTROS-PR
0.1494871794871795,0.5460666666666667,FedTROS-PR
0.15023076923076922,0.5471333333333334,FedTROS-PR
0.15028205128205127,0.5472666666666667,FedTROS-PR
0.15123076923076922,0.5485333333333333,FedTROS-PR
0.15143589743589744,0.5487333333333333,FedTROS-PR
0.15171794871794872,0.5492,FedTROS-PR
0.15202564102564103,0.5498666666666666,FedTROS-PR
0.15228205128205127,0.5503333333333333,FedTROS-PR
0.1527948717948718,0.5512,FedTROS-PR
0.15294871794871795,0.5514666666666667,FedTROS-PR
0.1534871794871795,0.5522,FedTROS-PR
0.15369230769230768,0.5528666666666666,FedTROS-PR
0.15387179487179486,0.5535333333333333,FedTROS-PR
0.15415384615384614,0.5540666666666667,FedTROS-PR
0.15417948717948718,0.5541333333333334,FedTROS-PR
0.15471794871794872,0.5556,FedTROS-PR
0.15538461538461537,0.5568,FedTROS-PR
0.1555128205128205,0.5570666666666667,FedTROS-PR
0.15564102564102564,0.5570666666666667,FedTROS-PR
0.1561025641025641,0.5578666666666666,FedTROS-PR
0.15643589743589745,0.5589333333333333,FedTROS-PR
0.15679487179487178,0.5596666666666666,FedTROS-PR
0.15756410256410255,0.5612666666666667,FedTROS-PR
0.15792307692307692,0.5617333333333333,FedTROS-PR
0.1582051282051282,0.5624,FedTROS-PR
0.15853846153846154,0.5628,FedTROS-PR
0.1586153846153846,0.5631333333333334,FedTROS-PR
0.15871794871794873,0.5639333333333333,FedTROS-PR
0.15935897435897436,0.5644666666666667,FedTROS-PR
0.15935897435897436,0.5645333333333333,FedTROS-PR
